"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsgeneratorstartwert","Datum gestartet","Datum letzte Aktivität","VP-Nummer ","Gib an, zu welcher Fahrt dieses Interview geführt wird ","Gruppe A - Termin 2: H-on  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt  (VL-Protokoll Termin A-1) ","Gruppe A - Termin 2: H-on  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ...(VL-Protokoll Termin A-1) ","Gruppe A - Termin 2: H-off  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt ","Gruppe A - Termin 2: H-off  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ... ","Gruppe B (H-off)  Anmerkungen zum Probanden, z.B. während Einweisung oder Fahrt ","Gruppe B (H-off)  Anmerkungen zum Fahrzeug, z.B. Abwurf ohne Grund, Fehlermeldung, ... ","Sonstige Anmerkungen  kurze Notiz zu den Wetterbedingungen und zum Zustand der Straße machen:- Wetter: z.B. hell, bewölkt oder dämmrig, blauer Himmel oder ....- Straße: nass, feucht, schneebedeckt, trocken, ... ","Trigger  Haben Sie während der Fahrt den Triggerknopf gedrückt? Bitte führen Sie noch einmal aus, was Ihnen in diesem Moment aufgefallen ist, bzw. was sie uns mitteilen möchten. ","Fahrerinitiierte Transitionen  Während der Autobahnfahrten sind Sie einen Großteil der Zeit mit L2 gefahren. In verschiedenen Situationen - zum Beispiel beim Auffahren auf oder Abfahren von Autobahnen - haben Sie das System aktiviert oder deaktiviert, um damit in einen anderen Fahrmodus wechseln.Gab es hierbei Situationen oder Aspekte, über die Sie uns gerne mehr erzählen würden? ","Systeminitiierte Transitionen  Während der Autobahnfahrten sind Sie einen Großteil der Zeit mit L2 gefahren. In verschiedenen Situationen hat das System von sich L2 teilweise oder komplett deaktiviert oder Sie zu einer Übernahme aufgefordert.  Gab es hierbei Situationen, über die Sie uns gerne mehr erzählen würden? ","DMS  Wenn L2 aktiv war, gab es ein Fahrerbeobachtungssystem, das gewarnt hat, wenn Sie   	ON --&gt; die Hände zu lange vom Lenkrad genommen haben.oder 	OFF --&gt; zu lange von der Straße weggesehen haben.   Möchten Sie dieses Fahrerbeobachtungssystem noch einmal genauer kommentieren oder bewerten oder Ihre Erlebnisse mit dem Fahrerbeobachtungssystem beschreiben?  ","HMI  Für die Bedienung von L2 haben Sie verschiedene Tasten am Lenkrad verwendet. Je nach Systemzustand wurden Ihnen im Anschluss unterschiedliche Anzeigen im Kombi-Display (oder dem Head-up Display) angezeigt.  Möchten Sie allgemein die Bedienung des L2 Systems oder die verwendeten Anzeigen noch einmal genauer kommentieren bzw. bewerten? ","Systemverhalten  Während der Nutzung von L2 haben Sie die aktive Spurführung, die Geschwindigkeitskontrolle, das Halten des Abstandes und die Interaktion mit anderen Verkehrsteilnehmern in verschiedenen Situationen erlebt.  Möchten Sie dieses Fahrverhalten des Systems noch einmal genauer kommentieren bzw. bewerten oder Ihre Erlebnisse beschreiben? ","Bewertung L2  In diesem Versuch konnten Sie Erfahrungen mit L2 sammeln. Würden Sie dies auch gern in Ihrem privaten Fahrzeug nutzen? ","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [Längsführung/ACC]","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [Querführung/Spurhaltung/Lenken]","Bewertung L2  Welche Komponente von L2 würden Sie auch gern in Ihrem privaten Fahrzeug nutzen?  [nur für A-2 &amp; B beantwortbarH-off/Hände frei nutzen können]","Bewertung L2  Stellen Sie sich vor, Ihr privates Fahrzeug wird mit einem L2 System ausgestattet.Hätten Sie lieber die Variante H-on oder die Variante H-off? ","Bewertung L2 Anmerkungen zu den vorigen Fragen/Antworten vom Probanden zur L2-Bewertung.","Haben Sie noch weitere Kommentare oder Anmerkungen zu der erlebten Fahrt mit L2?","Haben Sie noch weitere Kommentare oder Anmerkungen zu der Studie?","Gesamtzeit","Gruppenzeit: Metadaten","Fragenzeit: VP","Fragenzeit: Fahrt","Gruppenzeit: VL-Protokoll","Fragenzeit: AOnVP","Fragenzeit: AOnFzg","Fragenzeit: AOffVP","Fragenzeit: AOffFzg","Fragenzeit: BOffVP","Fragenzeit: BOffFzg","Fragenzeit: VLProtSonst","Gruppenzeit: Leitfaden","Fragenzeit: Trigger","Fragenzeit: FahrerTrans","Fragenzeit: SystemTrans","Fragenzeit: DMS","Fragenzeit: HMI","Fragenzeit: Systemverhalten","Fragenzeit: L2PrivNutzung","Fragenzeit: L2Komponenten","Fragenzeit: Ranking","Fragenzeit: L2BewertungKomm","Fragenzeit: Sonstiges","Fragenzeit: Studie"
"59","2022-03-25 12:57:50","3","de","2006372221","2022-03-25 12:35:41","2022-03-25 12:57:50","7","Gruppe A - Termin 2: H-off","Viele Spurwechsel","","VP wünscht sich, das Fzg auch aktiv Spurwechsel anbietet
viele Spurwechsel
1x während Versuchsfahrt versehentlich Mode gedrückt
VP sieht Vorteile des Systems in Situationen mit wenig Verkehr","2x LKW-Einscherer nicht erkannt -> manuelle Bremsung
1x LKW zieht ohne Blinken langsam auf mittlere Fahrbahn -> manuelles Eingreifen
Bei automatischen Spurwechsel meistens Querführung abgeworfen","","","","2x LKW Einscherer, vom System wäre vermutlich nicht (rechtzeitig) reagiert worden.
1x LKW Drift","System hat insgesamt gut funktioniert","Spurwechselassistent: Querführung immer wieder deaktiviert","keine Warnungen H-off
1x Warnung H-off: sofort klar, intuitiv ","alles intuitiv, außer Geschwindigkeitswippe (besser bei VW: Druckknöpfe)
reduzierte Bedienelemente am Lenkrad (im Vergleich zu VW): gut
HUD sehr gut","kritische Situation siehe oben
insgesamt zuverlässig und nachvollziehbar","Eher ja","Ja","Eher ja","Eher ja","H-off","Lenken nur eher ja, weil relativ viel Überwachung und notwendige Eingriffe -> weniger intuitiv als bei vollständig manuellem Modus (ggf. nach mehr Erfahrung besesr)
ACC die wertvollste Funktion
H-on vs. H-off: Preisfrage","Mensch besser im Prädizieren von Situationen (siehe LKW Drift), was das Vertrauen in das System verringert.
Besser gut bei wenig Verkehr.
Noch nicht ganz entspannt -> wäre interessant H-off eine Woche zu nutzen","","1328.55","17.83","","","143.51","","","","","","","","1167.21","","","","","","","","","","","",""
"61","2022-03-25 16:34:28","3","de","114457809","2022-03-25 16:14:12","2022-03-25 16:34:28","9","Gruppe A - Termin 2: H-on","","","","","","","-","Baustelle funktioniert nicht wenn gelb und weiß sehr nah beieinander; Baustellen leicht kritisch und man muss aufpassen; eine Fahrspur wird zu zwei und Auto beschleunigt stark obwohl tempolimit und spurfindung schwierig; Bodenwelle Lenkrad verrissen; ","handling sehr intuitiv und gut, einfache Bedienung für Fahrertransitionen, einmal gebremst weil zu spät gebremst","Systemdeaktivierung teilweise unverständlich und unerwartet weil Strecke kaum geändert; modus immer klar, aber nicht so salient; Ton wünschenswert bei erster Stufe","man bekommt iwann ein gefühl dafür wie man lenkrad halten muss damit keine warnung kommt, Warnung erst recht spät gesehen manchmal zum beispiel wenn es piept und rot wird","stärker abgelenkt wenn L2 aktiv und Reden mit Beifahrer als wenn manuell und Reden mit Beifahrer; Lenkstockhebel sehr gut bedienbar; ausbalancierende Infomenge, deutlicher farbwechsel des gesamten Kombis wenn L2 deaktiviert; Symbole alle passend","bremsen sehr gut wenn man auf Fahrzeug auffährt; nach Spurwechsel Beschleunigung zu ruckartig; Spurwechsel lieber manuell durchführen; überrascht, dass rollerfahrer erkannt wurde und einscherer auch gut gemeistert; Spurführung gut aber bei Unebenheiten Schlangenlinien","Ja","Ja","Eher nein","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","fährt lieber manuell, Tempomat sehr hilfreich; PID--> antizipiert Tempolimit und bremsts ehr früh wo andere Verkehrsteinhemer wsl. nicht mit rechnen","-","","1216.84","20.12","","","11","","","","","","","","1185.72","","","","","","","","","","","",""
"62","2022-03-25 18:33:12","3","de","1356293859","2022-03-25 18:11:14","2022-03-25 18:33:12","9","Gruppe A - Termin 2: H-off","kommt nach kurzer Eingewöhnung sehr gut zu recht","-","Bedienung Spurwechsel automatisch schwierig --> macht lieber manuell (später im versuch gehts aber gut); 2-3x Eyes off Warnung bei Versuchsfahrt; Kurven werden gut gemeistert; anfänglich Schwierigkeiten zu erkennen wann H-On oder H-Off; schaut viel mehr ins Kombi als HUD; bei Einscherern sehr aufmerksam--> Hände sehr nah am Lenkrad; Proband greift kurz am Anfang der Baustelle ein da Fahrzeug sonst Spur verlassen hätte; anfangs häufige Eyes-off Warnungen (4x); gebremst bei Baustelle Aufahrt für andere Fahrzeuge damit diese einscheren können; Fahrdynamik des Fahrzeugs widerlich (synthetisch); Bremse (Feedback) ein No-Go; Auffahrverhalten zu hart teilweise; Fahrzeug macht keinen automatischen Spurwechsel wenn auf Spur neben der Spur wo man hinwechseln möchte ein Fahrzeuge relativ nah fährt, da es ja auch wechseln könnte --> wird aber nicht im HMI angezeigt","-","","","-","-","-","Wechsel von H-off zu H-on muss salienter; ","verstanden, aber nicht immer nachvollziehbar; immer sofort wahrgenommen","Stellhebel besser als Knöpfe, da man blind bedienen kann; sonst sehr intuitiv; gute Infos im Kombi; Unterscheid zwischen H-Off und On erfordert mehr Mitdenken da nur steht System ist bereit; Anzeige mit Infomnege war passend, Ton war gut wenn System abwirft","Ungewohnt dass man Hände weg und das System das alles schafft --> Vertrauensüberwindung; Spurwechsel lücke eig groß genug laut proband aber System möchte nicht; Bremsen und Spurführung allgemein gut, bremsen allerdings recht stark aber vielleicht weil elektro; schon recht starker lenkwinkel bei Spurwechsel; lieber manuell Spur wechseln, da Gefühl von Kontrollverlust--> man verlässt sich sonst blind aufs system","Eher nein","Ja","Unsicher","Eher nein","H-off","H-off sinnvoll, da bei H-on immer die Hände am Lenkrad sein müssen, dann kann ich auch gleich selber fahren
ACC finde ich sinnvoller als Spurführung","-","-","1319.43","69.33","","","412.31","","","","","","","","837.79","","","","","","","","","","","",""
"64","2022-03-28 13:58:49","3","de","718653372","2022-03-28 13:42:28","2022-03-28 13:58:49","8","Gruppe A - Termin 2: H-on","","","","","","","-","2. Fahrtblock: Baustelleneinfahrt (S-Kurve) --> Fahrzeug erkennt weisse Linien statt gelbe Markierungen und Fahrer musste eingreifen durch gegenlenken um Spur zu halten; Autobahnaufhart nach Kreuz dicker weißer Balken links ---> Auto kommt von links und bremst ab obwohl vorne frei, Auto wollte nicht rechts überholen obwohl durchgezogene Linie --> Proband beschleunigt selber","meistens Bremse um zu deaktivieren; bei knappen Einscherern eingreifen durch selber bremsen; ","Wechsel immer klar; ","Warnungen für H-Off immer verstanden; 3. Warnstufe etwas zu hart und übertrieben; Umsetzung der Warnungen passt, aber haptisches Feedback im Sitz wäre noch gut, bei 2. stufe visuell noch salienter","Bedienung per Tasten sehr gut, Anzeige sehr gut und ausreichend, alles verständlich, Icons und Farben alles gut; Systemzustand immer bewusst","bei Spurwechseln könnte bei Wechseln direkt beschleunigen; ist gut wenn das System selber Spurwechsel macht und verlässt sich schnell und gut darauf; Längs udn Querführung gut, Einscherer klappen meistens gut, selten aber auch Probleme und Eingreifen notwendig","Eher ja","Ja","Eher ja","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","ACC und Spurführung beides gut, allerdings wenn man sich entscheiden müsste, dann ACC","-","","980.67","13.03","","","5.61","","","","","","","","962.03","","","","","","","","","","","",""
"67","2022-03-28 15:49:43","3","de","1035521386","2022-03-28 15:30:48","2022-03-28 15:49:43","8","Gruppe A - Termin 2: H-off","wollte immer die Hände wegnehmen, Spurwechsel deshalb wiederholt abgebrochen","-","schnelle Eingewöhnung; Symbole: blauer Balken und Ränder am Fahrzeug im Kombi teils unverständlich; anfänglich viele Eyes-off Warnungen, weil provoziert; wenn Eyes-off Warnung, dann nimmt Proband Hände ans Lenkrad, obwohl nicht notwendig --> Reflex!; Übergang zwischen H-On/H-Off verständlich, jedoch unnötig: Warum geht nicht sofort zu H-off bzw. noch schneller --> proband neigt dazu schnell die Hände wegzunehmen; Proband hat starkes Vertrauen L2 im Fahrzeug","sehr knapper Einscherer (ist jedoch schnell wieder in rechte Fahrspur zurückgeschert) --> proband greift ein durch lenken --> Fahrzeug vermutlich nicht erkannt (siehe Triggerbutton)","","","-","Gefahrensituation bei Einscherer (tänzelt auf der Linie): Fahrzeug anscheinend nicht erkannt ","Einmal gedrückt und Proband wusste nicht immer ob es jetzt wirklich an ist oder nicht --> Rückmeldung hat iwie gefehlt; ","Hände ans lenkrad bei wechsel von h-off zu h-on ersichtlich, war aber beim ersten mal nicht ganz verständlich; allgemein keine Probleme, Modus immer klar","Eyes-off Warnungen super funktioniert, Fahrer hat teils extra provoziert und ausgetestet; timing genau richtig; Warnung akustisch und visuell sehr gut; ","Unterschied Aus und standby unnötig; blaue Farbwahl komisch, aber sehr ersichtlich; balancierte Infomenge; Anzeige Umgebungsverkehr und Interaktion wie bei BMW wäre hilfreich; super kleines Icon für Automation unten und könnte man weglassen und schaut man nie drauf --> kein mehrwert; ","Fahrstil hat besser gepasst als BMW On und kam sicherer rüber; leichtes Einschererproblem siehe Triggerbutton; Spurwechsel war sehr smooth; Option automatischer Spurwechsel wäre aber gut","Eher ja","Ja","Eher ja","Ja","H-off","-","-","-","1119.81","7.5","","","298.97","","","","","","","","813.34","","","","","","","","","","","",""
"68","2022-03-28 18:44:07","3","de","1091756489","2022-03-28 18:23:01","2022-03-28 18:44:07","65","Gruppe B (H-off)","","","","","Probad drückt 3 Mal Trigger, 1. mal weil Angst dass Fahrzeug bei knapp einscherendem Fahrzeug nicht bremst
2. und 3. mal weil bei Spurwechsel Fahrzeug ihn abbremset (laut Proband wäre das nicht nötig)
Bei 2. Trigger: nach Spurwechsel ist Fahrzeug in H-on, bemerkt Proband nicht und es kommt gelbe Warnung
danach gibt es noch 1x rote H-on Warnung und 1x Aufmerksamkeitswarner","","","Wurde schon gesagt in der Situation","Ich war mir klar dass wenn ich bremse das System aus ist. Aber mir nicht ganz sicher welcher Zustand ist wenn ich auf den Knopf am Lenkrad drücke. war dann überrascht dass er immer gearbeitet hat und Abstandsüberwachung noch da war, obwohl ich dachte ich hätte alles ausgemacht","Auf der Rückfahrt wars mindestens 1x dass er mich gewarnt hat mit Ton und Graphik dass ich Hände ans Lenkrad nehmen soll. Kann aber nicht sagen ob das war dass war weil ich unaufmerksam war oder ob ich zu früh die Finger vom Lenkrad genommen hab und es noch nicht Active plus ready war. ","Nein","Nein, fand das nach ner Weile durchaus intuitiv wie man mit den Anzeigen im Display zurecht kommt; habe irgendwann festgestellt dass Lenkrad auch grün leuchtet oder blinkt, das hab ich Anfang noch gar nicht gemerkt, da hatte ich noch anderes zu tun. Vor allem auf der Rückfahrt hatte ich mal Zeit dazu nen Blick aufs Lenkrad und Kombi-instrument zu werfen. Die meiste Zeit hab ich mich am HUD orientiert.  ","Nein. Das was mich stört hab ich schon bei Triggerpunkt gesagt: ich würde wenn ich fahre nie so harsch reagieren und das Auto so stark verzögern wenn ich sehe dass hinten ein schnellerer kommt, mir ist klar dass der sofort den Abstand vor mir wieder vergrößert. Ich würde im Zweifel auf die andere Spur wechseln. bremst manchmal unvorhersehbar oder lässt mich gar nicht rüber mit Lenkradvibration.","Eher ja","Ja","Eher ja","Ja","","So wie ichs heute probiert hab ""eher ja"". Wenn man da noch was an geschmeidiger Fahrreaktion verbessert, dann ""Ja"". ","nein","nein","1266.2","6.82","","","128.93","","","","","","","","1130.45","","","","","","","","","","","",""
"69","2022-03-29 16:24:08","3","de","1680087157","2022-03-29 13:53:50","2022-03-29 16:24:08","66","Gruppe B (H-off)","","","","","E: VP sucht Knopf für Abstand -> Eyes off road Warnung
V:
VP nimmt nach einem der ersten Spurwechsel Hände zu früh weg
VP hatte deutliche Probleme mit Kippschalter für Geschwindigkeitsregelung: ihm war der Unterschied zwischen 1er und 10er Schritten nicht klar ersichtlich
nach Aufzeichnung: VP deaktiviert Assistenz durch Bremse -> danach im ersten Moment nicht klar, warum System im Stand by Modus
genannte Schwachpunkte: nah an LKW rechts & keine Blinkererkennung von einscherenden Fahrzeugen -> spätes Bremsen bzw. Nichterkennen des anderen Fahrzeugs","3x in Baustelle auf H-on umgestellt","viele Spurwechsel zu Beginn der Versuchsfahrt","","Fahrzeug hat auf 130 beschleunigt beim Autobahn abfahren -> nicht gut","kritisch war nichts
nervig bei Baustelle als in H-on gewechselt hat ohne ersichtlichen Grund -> akustisches Signal notwendig","Ton zur Warnung war zu leise und wusste am Anfang nicht, wofür der Ton -> danach klar","Animation mit Farbwechsel einfach zu erkennen","wenn in der Spur dann super
Hat Probleme mit Einscherern (früheres Bremsen) -> Kommunikation mit anderen Fahrzeugen wichtig","Ja","Ja","Ja","Ja","","Automatisiertes Überholen wünschenswert","","war gut das System kennenzulernen
Durch Aufzeichnung spricht man weniger und kommt nicht in Diskussion","9018.43","10.99","","","7335.52","","","","","","","","1671.92","","","","","","","","","","","",""
"71","2022-03-29 20:49:47","3","de","878806163","2022-03-29 20:24:31","2022-03-29 20:49:47","67","Gruppe B (H-off)","","","","","sehr lange Eingewöhnung; fährt leicht unsicher und auch abgehackt; Probleme bei Spurwechsel weil sie sehr große Abstände bevorzugt und häufig unsicher ist und mehrfach blinkt; fährt viel im mittleren Fahrstreifen auf der Autobahn; redet viel; automatischer Spurwechsel: schwierige Bedienung, Probandin muss sich erstmal gewöhnen die Kontrolle abzugeben und übersteuert zu viel","ab Wendepunkt (Manching) bis 19:38 kein H-Off verfügbar, weil DMS verdeckt, danach gings wieder nach dem die Lenkradposition geändert wurde (Warnmeldung kam aber erst nachdem man Auto aus und an gemacht hatte (Raststätte); ein kritischer Vorfall bei einscherendem Bus (der aber schon recht lange eingeschert war): Bus nicht erkannt und wäre aufgefahren wenn Probandin nicht gebremst hätte und ausgewichen wäre","insgesamt etwas holprige Versuchsfahrt mit DMS-Problem und Probandin auch teils unsichere Fahrweise --> berücksichtigen ob valider Datensatz?","kritische Situation mit einscherendem Bus --> Bus nicht erkannt und Pmusste bremsen und ausweichen","man musste sehr aufmerksam sein und warten bis man die Hände dann tatsächlich wegnehmen konnte (unterschiedlich gedauert); ","Modus zwischen H-On und H-Off verstanden; ","Warnung eyes-off sofort gesehen und verstanden, aber sollte salienter sein und lauter sein wenn man abgelenkt ist zB. NDRA (Musik); Warnung H-Off verstanden und gut","Prinzip mit Lenkradtasten verstanden; Infomenge in Anzeige passend und alles verstanden (Symbole, Farben, etc.); gut, dass nur relevante Fahrzeuge mit Spuren angezeigt werden","Probleme bei Spurwechsel: war sich nicht sicher wie viel das System augenblicklich übernimmt und was der Fahrer machen muss: Probleme mit Blinker nur antippen oder runterdrücken und in Anzeige nicht vollständig ersichtlich ob manuell oder automatisch; Spurführung sehr gut; Längsführung auch gut; Einscherer Bus nicht erkannt; bei gerade Strecken und wenig Verkehr automatischer Spurwechsel sonst eher manuell; Abstand häufig zu knapp für probandin und deshalb oft selber Spur gewechselt; ","Eher ja","Ja","Eher ja","Eher ja","","H-off gerne nutzen, aber immer noch sehr aufmerksam und vertraut system nicht wirklich und möchte eher immer noch eine hand dran haben; ACC und Spurführung beides gut","ziemlich angenehm, aber gewöhnungsbedürftig","-","1515.62","11.03","","","359.13","","","","","","","","1145.46","","","","","","","","","","","",""
"72","2022-03-30 11:26:31","3","de","425747304","2022-03-30 11:02:52","2022-03-30 11:26:31","68","Gruppe B (H-off)","","","","","E:
VP findet Automation von Anfang an super
1x Hände weg trotz nicht aktiv
2x Spurwechsel initiiert trotz Hände nicht am Lenkrad","V:
Baustelle: Auffahrt: will weißer Markierung folgen -> durch Lenkeingriff von VP kurz manuell gelbe Spur gehalten
Spurwechsel unter 80 km/h nicht automatisiert -> nur manuell","","zwei Situationen in denen Tempo unter 80 und kein automatisierter Spurwechsel verfügbar -> muss manuell durchgeführt werden","In Baustelle manuell Spur gewechselt um einfädelnden LKW auf Spur zu lassen
Sonst keine Transitionen laut VP","1x nach Spurwechsel nachdem Vorderfahrzeug bremst -> System hat sich abgeschalten: unkritisch","keine Warnungen","Knöpfe sehr gut zu bedienen; außer die Haptik der BMW Knöpfe
HMI sehr gut sichtbar und verständlich; VP nutze am Anfang viel Kombi und zum Ende mehr das HUD","sehr gut und angenehm
Spurwechsel war schön sanft","Ja","Ja","Ja","Ja","","VP hat das Bedürfnis immer den Verkehr mitzuverfolgen
Spurhaltung wird als sehr angenehm empfunden gerade im Bereich der Baustelle
Würde H-off gerne nutzen, weiß aber anfangs nicht wohin mit Händen
Hat die Bedenken, dass man dann zu leichtsinnig wird und sich zu viel mit fahrfremden Aktivitäten beschäftigt (z.B. Handy)","VP vertraut System und findet alles sehr angenehm
Hat sehr Spaß gemacht","ist gespannt was noch kommt
hat VP sehr gefallen","1418.96","10.17","","","171.46","","","","","","","","1237.33","","","","","","","","","","","",""
"73","2022-03-30 16:00:16","3","de","1999775717","2022-03-30 15:46:09","2022-03-30 16:00:16","69","Gruppe B (H-off)","","","","","E: VP hat Probleme mit Spurwechsel: tippt Blinker an, obwohl nicht ready; lässt während Spurwechsel Hände los oder hält Hände zu fest; wird alles nochmal detailiiert von VL erklärt
V:
3x Spurwechsel versucht ohne ready -> VL weist nach dem 2. Mal darauf hin, dass ready sein muss
8x Hände weg ohne ready -> Warnung vom System -> VL weist nach 7. Mal darauf hi, dass ready sein muss","","","","hat ein zwei mal manuell übernommen, um den Verkehrsfluss zu verbessern","relativ viele missglückte Spurwechsel
Nach missglücktem Spurwechsel meist nochmal probiert","nicht gemerkt","Tasten sind gut
auch sehr gut und sehr hilfreich, war gut, dass HUD alle Infos anzeigt (ist gut, dass man sieht, was das Auto sieht)","Baustellenausfahrt als positiv empfunden, da sehr viele alte Spuren
Systemverhalten sehr gut
Abstand war ok
Spurführung auch sehr gut, aber fühlt sich manchmal sehr weit rechts in der Spur an
lenkt bei Spurwechsel zu extrem","Eher ja","Ja","Ja","Ja","","Würde den Spurwechsel nicht so oft verwenden
weiß nicht, warum System manchmal Übernahmeaufforderung gegeben hat; VP meint er wäre ready in den 8 Situationen, wo Fahrzeug nicht ready war","","interessant, bringt Zukunft näher
gut dass mehr Forschung auch in Deutschland gemacht wird","845.81","10.59","","","177.8","","","","","","","","657.42","","","","","","","","","","","",""
"75","2022-04-01 09:01:38","3","de","1081327245","2022-04-01 08:47:49","2022-04-01 09:01:38","12","Gruppe A - Termin 2: H-on","","","","","","","-","Baustelle: Fahrzeug wollte weißen Linien folgen--> Spurwechsel (hin und her pendeln); Tempolimit von Abbiegespur übernommen obwohl dort nicht gefahren und dann Bremsung auf 60 obwohl freie fahrt war","-","kam nicht vor","manchmal waren Hände leicht dran und System hat selten mal gewarnt; Warnung immer eindeutig","Bedienung selbsterklärend und einfach; Anzeige Infomenge ausreichend und gut, auch alles verständlich; Fahrstreifen sieht man nur als gerade linie und nicht die fahrstreifen an sich --> vielleicht hilfreich bei Baustellen anzuzeigen um zu checken ob er die weißen oder gelben linien nimmt; eher HUD als Kombi genutzt, Info bei HUD genau passend","Längs und Querführung gut, aus Baustelle heraus könnte schneller Gas geben; Auto bremst manchmal shcon ab obwohl auto noch wiet weg ist --> unnatürlich","Ja","Ja","Unsicher","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","Querführung in Spur angenehm; H-On nach langer Zeit unangenehm da Schulter weh tut; Spurwechsel unnatürlich da er nur sehr große lücken nimmt wo jeder mensch sofort wechselt; Längsführung hilfreicher als lenken","-","","830.03","17.83","","","5.32","","","","","","","","806.88","","","","","","","","","","","",""
"76","2022-04-01 11:00:27","3","de","1996259420","2022-04-01 10:38:48","2022-04-01 11:00:27","12","Gruppe A - Termin 2: H-off","schnelle Eingwöhnung","-","wieder schnelle Eingewöhnung; Proband hält Hände teils sehr nah ans Lenkrad wegen wenig Vertrauen --> vorher gab es viele Abbrüche und schlechte wetterbedingungen; Proband wünscht sich Anzeige von Umgebungsverkehr wie bei BMW; Anzeige verbessern: nicht nur was wir erkannt, sondern auch wie wird erkannt;","Auto hat massive Probleme mit wetterbedingungen (vor allem Hinweg)--> häufige Wechsel (H-Off, H-on, kein L2) und Abbrüche","","","-","-","beim ersten mal nicht ganz verständlich ob das System aktiv ist, aber dann sehr einfach; einmal deaktiviert als man von LKW eingekesselt war; am Ende hin besserer Bewertung von L2 H-Off weil vorher gab es viele Abbrüche wegen Wetter, was später deutlich besser war","recht willkürliche Abbrüche --> konnte man nicht antizipieren; guter Umgang bei Abbrüchen; man wusste dadurch das man besser aufpassen muss; mehr Infos warum das System abbricht oder auch wie man es verbessern kann","Warnungen Eyes-off war gut; Warnung H-off auch sofort wahrgenommen udn gut","Bedienung war selbsterklärend; Anzeige teilweise etwas unklar mit dem Spurhaltenassistent--> was ist unterschied zwischen grünen linien und h-On; Anzeige von Umgebungsverkehr; Infomenge ausreichend; Farbwechsel zu blau klare mode awareness; ","Spurwechsel deutlich angenehmer als bei BMW (smoother); Längs udn Querführung sehr gut; bei Spurwechsel kein starkes bremsen zum Vordermann, beschleunigt recht schnell was besser ist als beim BMW; angenehem selber spurwechsel auszuführen","Eher ja","Ja","Eher ja","Ja","H-off","Spurführung nur auf ehr ja wegen dem Hin und Herr gewackele teilweise --> Unsicherheit/Vertrauen reduziert; Längsführung besser, wo das System besser funktioniert hat: Querführung besser","-","mehr Transparenz über die Autos (welche verfügbar); Termine online selber ausfüllen","1298.33","13.75","","","259.32","","","","","","","","1025.26","","","","","","","","","","","",""
"77","2022-04-01 10:57:50","3","de","1028087030","2022-04-01 10:42:54","2022-04-01 10:57:50","11","Gruppe A - Termin 2: H-on","","","","","","","1x im Stand by Hände weg genommen
nach Wenden: VP schaltet L2 aus anstatt zu reaktivieren","keine Ergänzungen","hat am Anfang gebraucht, um zu verstehen wenn bei stand by ob Hebel nach vorne oder nach oben die alte Greschwindigkeit wieder übernimmt -> sonst intuitiv
hat nie ausgeschaltet: immer nur mit Bremse in stand by","1x Inno Drive nicht verfügbar (keine Längs- und Querführung) -> VP hat System aus und nach einiger Zeit wieder angeschaltet -> ging dann wieder
Querführung bricht bei starkem Regen ab","System gut
Hat Zeitabstand nicht herausfinden können ab dem das System warnt
Findet Momentenerkennung gut, dass die Hände nicht einfach nur auf dem Lenkrad liegen, sondern, dass man aufgefordert wird auch wirklich zu lenken","Hebel: war für ihn intuitiv, wie andere Tempomaten auch; man konnte nicht viel falsch machen
Anzeigen gut und verständlich; nicht zu klein; gut dass wenn im stand by dann grau; wüsste nicht was man besser machen könnte","Spurführung ist gut
Bei Spurwechsel beschleunigt sehr spät beim Überholvorgang
System gut vorhersehbar","Ja","Eher ja","Eher nein","nicht anwendbar [Spalte nur für A-2 H-On Interview & Frage 3]","","Bei höheren Geschwindigkeiten (ab 150) würde das Vertrauen in das System fehlen (aber nicht ausprobiert)
Bei Begrenzungen unter 130 würde VP das System gerne nutzen
Eher nein, da man Hände eh am Lenkrad haben muss und dass man immer Lenkmoment geben muss für DMS","wünscht sich ein kapazitives Lenkrad","","896.54","69.5","","","60.6","","","","","","","","766.44","","","","","","","","","","","",""
